Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117896015;0;4.22E-07;0.035172186;3.54E-07;743.5865089;802.8833758;813.6546442;925.9788104;984.4858882;890.3311631;898.5054813;1124.20821;984.1220088;913.834707;970.8357861;913.7391591;932.8032174;1002.278567;933.5986205;786.7081763;0.930682595;1.186715289
gene-LOC117895151;0;4.22E-06;0.883982288;3.65E-07;407.4761984;463.8668308;426.8637855;623.6493875;550.0735212;554.2389772;617.2701638;815.1747635;771.8144002;569.1820595;475.3241372;638.1670318;560.8910762;734.7531092;575.9872953;432.7356049;0.763373532;1.331037448
gene-LOC117901706;0;0.016683231;0.126910139;3.75E-07;9895.686095;8449.483183;9929.374341;11116.30345;11002.38114;10909.4271;9769.825423;9978.214541;10371.40262;8959.846187;9353.241179;9390.650186;9234.579184;10039.8142;11009.37057;9424.847873;0.919795825;1.168121832
gene-LOC117901599;0;1.63E-08;4.53E-11;3.78E-07;1099.264885;919.0901802;996.5962665;911.5459988;744.0564021;734.8102448;927.4561757;785.4600091;722.5496513;899.2402952;731.3384892;732.9995452;787.8594432;811.8219454;796.8042152;1004.983777;0.970483057;0.792852813
gene-LOC117901152;0;2.61E-11;0.995977548;3.92E-07;21874.79569;21417.58632;22878.1566;23905.29382;26537.40453;23972.14047;19823.98802;23294.3865;20748.6701;18656.14885;19167.12467;18981.00649;18934.76;21289.01487;24804.94627;22056.8462;0.88941457;1.124591705
gene-LOC117897897;0;0.003493773;0.138534349;4.99E-07;453.5187067;462.906444;534.8864577;579.5913309;602.8951507;602.2521466;680.3413195;558.6373835;629.8850044;575.9179419;532.2162154;561.1853444;556.4398339;622.9545692;594.9128761;483.7705361;0.893226989;1.229741854
gene-LOC117893022;0;0.098431295;0.002081278;4.99E-07;1667.889863;1727.735877;1699.614787;1462.271706;1413.433949;1425.782378;1457.874256;1561.0151;1731.304035;1613.243825;1620.506615;1712.563625;1648.771355;1583.397797;1433.829344;1698.413509;1.041286882;0.844216875
gene-LOC117892918;0;0.192498479;0.009396049;5.98E-07;819.5566476;773.1113846;1550.648037;279.540773;563.7342875;662.7904907;640.017138;547.7419735;970.0463663;676.9561773;920.3670071;1107.866893;901.7300256;719.2684926;502.0218504;1047.772023;1.253676527;0.479132711
gene-LOC117900631;0;6.59E-23;0.002575226;6.60E-07;1220.12647;1326.294189;1463.532979;1431.88684;1634.738362;1627.228937;1638.816096;1790.809201;1943.611643;1594.158825;1853.580612;1719.257685;1722.332374;1791.07898;1564.618046;1336.651213;0.961617211;1.170550725
gene-LOC117897389;0;0.021238669;0.141148612;6.85E-07;286.6146141;304.4426198;277.8970359;193.7035247;183.9649856;228.5844369;248.1488096;213.946232;289.7236426;315.4638239;236.7444545;365.9419343;306.0500709;250.6062281;202.0843158;289.6514233;1.221238886;0.697681073
