Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117890300;0;0.003692992;0.034289311;0.000100236;1.043645363;0.86124187;1587.686288;1237.056698;1399.505366;1239.319536;1103.412353;1295.367663;1507.648015;1598.644682;1348.052234;1220.13136;1392.815219;1353.742526;1433.479814;1373.531531
gene-LOC117901789;0;0.136988753;0.139591509;0.000110799;1.07772407;0.845817985;696.5738261;728.7227462;815.5933021;670.0971907;630.3781745;594.9095933;576.7856938;673.8276029;660.5095503;650.1429875;667.874976;707.7383563;680.6918365;631.6012191
gene-LOC117895838;0;0.035472755;0.13185112;0.000116102;1.052108798;0.895018512;6873.698476;5679.164502;6647.179591;6012.461054;5453.923729;5718.008739;5780.172647;6557.382713;5298.494074;5530.668428;5650.518191;5989.318519;5948.398435;5653.786422
gene-LOC117890376;5.73E-274;0.233373728;0.005772569;0.000123869;0.847560882;2.753022998;12.55087975;8.859851017;8.476142862;20.81544439;35.07668697;26.38711906;14.36832689;10.17524904;13.51656651;17.81213664;12.68117043;14.33115052;12.67432202;14.95387799
gene-LOC117903621;0;0.095829016;0.130215538;0.00012566;0.649898926;1.205708799;83.67253167;109.6406563;124.316762;144.9075167;141.308939;96.75276988;142.6569599;88.18549165;73.89056361;124.6849565;110.9602413;83.78211071;81.95272199;126.1007192
gene-LOC117892365;0;2.34E-09;0.644667309;0.000130546;1.126461126;0.910776394;4683.56996;4353.509294;5045.18859;4345.624314;4155.08412;4325.088696;3429.924891;4204.639019;4047.761119;3890.838598;3405.951025;3830.826773;4027.742303;3575.571505
gene-LOC117892379;0;0.040824717;0.000665091;0.000132614;0.981658021;1.257415586;761.4200382;918.1020617;991.7087149;973.5223225;1080.361959;1304.962979;832.3366507;823.0645888;940.7530294;826.0378368;1178.292086;1020.818875;928.2121645;945.5555244
gene-LOC117901678;0;7.74E-36;1.48E-05;0.000159915;0.870992301;0.990584341;1384.780399;1233.734254;1261.061699;1353.003886;1218.664325;1271.379373;1133.045206;999.4355721;999.3248176;1108.805506;1102.205063;913.8864444;970.882278;1114.685259
gene-LOC117899036;0;0.060848501;0.221120832;0.00016155;0.877851813;1.069657989;976.8768072;971.2611678;839.1381434;1026.361527;1056.309373;898.7612673;1011.940737;840.0233372;956.0718048;948.4962762;965.8824812;772.7797317;856.2916245;975.4398314
gene-LOC117900177;0;0.004380034;0.896770194;0.000176855;0.777320877;1.250990115;457.0612042;557.0631327;438.8758415;630.868084;598.3080607;588.5127159;745.1003802;520.0682841;605.5421798;920.6648127;545.2903285;593.0891521;572.899872;737.0185072
