Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117894864;0;1.33E-16;5705.205004;5149.463492;5424.299049;5695.88546;5072.919863;5587.166883;5451.990735;5426.322515;731.4901822;1.004730316;6840.77781;6633.028739;6671.078429;7776.577066;7157.345967;7405.432492;7446.451842;6714.96166;731.4901822;1.10893438
gene-LOC117902964;0;1.37E-16;3592.853339;4009.19534;4458.98302;3519.44401;4591.473922;4025.420217;4045.44605;4020.3439;-605.5758634;1.006243782;6148.292864;5519.111862;6010.841827;5634.965637;4999.389657;5227.163669;5287.172987;5892.748851;-605.5758634;0.897233723
gene-LOC117892740;0;2.12E-16;1037.13244;11416.24372;908.5327332;3904.855517;232.2765505;2518.745123;2218.62573;4453.96963;-890.3198423;0.498123228;2963.525833;2329.952583;2753.475423;2197.969624;1520.257332;1657.767356;1791.998104;2682.317946;-890.3198423;0.668078185
gene-LOC117891959;0;2.90E-16;2078.171217;1485.582661;1482.34288;1944.330878;1764.457142;1334.186773;1680.991598;1682.032253;-394.2239539;0.999381311;2159.314082;1784.145051;1656.068582;1763.328389;1304.142319;1349.385145;1472.285284;1866.509238;-394.2239539;0.788790783
gene-LOC117891341;0;4.28E-16;1095.727493;1250.852254;1356.821911;966.2277268;1190.100581;1100.392362;1085.573556;1234.467219;-429.5731224;0.879386297;1662.627595;1674.983545;1902.03908;1336.372363;1283.914805;1330.643685;1316.976951;1746.550073;-429.5731224;0.754044771
gene-LOC117891796;0;5.07E-16;1784.219367;1263.371209;1414.601405;1348.400481;1449.405675;1405.883726;1401.229961;1487.397327;195.8742535;0.94206836;585.182966;1001.234032;731.9365048;746.3191343;1262.622686;897.0344431;968.6587544;772.7845009;195.8742535;1.253465556
gene-LOC117902801;0;7.88E-16;1543.979649;1777.691611;2016.305101;1578.351884;1951.123024;2142.595892;1890.690267;1779.325454;411.489026;1.06258822;2175.907172;2275.95872;2093.238821;2671.890814;2748.812626;2358.86835;2593.190597;2181.701571;411.489026;1.188609217
gene-LOC117898834;0;8.27E-16;11144.7791;11417.28696;10373.41157;13039.21618;10444.84299;12204.06826;11896.04248;10978.49254;-734.0683816;1.083577042;12374.02015;12714.38105;13416.84426;11678.95515;12075.82557;12548.25959;12101.01344;12835.08182;-734.0683816;0.942807659
gene-LOC117898849;0;9.04E-16;1733.436988;1908.097392;2093.01236;1740.289492;1940.98732;1918.153258;1866.47669;1911.51558;-435.5040877;0.976438126;2631.664038;3000.180757;2906.833548;2346.550321;2477.338103;2408.277655;2410.722026;2846.226114;-435.5040877;0.846988935
gene-LOC117898803;0;1.48E-15;540.0510728;576.9151765;371.5819183;597.0099809;379.2442588;472.7842536;483.0128311;496.1827225;137.5476677;0.973457578;332.9680014;435.472246;351.5286887;445.7420916;574.8872263;511.9826214;510.8706464;373.3229787;137.5476677;1.368441472
